Bokføringsdato;Beløp;Tittel;
Reservert;-3497,75;MAXIMAT NORDBY STROMSTAD SE;
Reservert;-1103,18;GOTTEBITEN 101 STROMSTAD SE;
Reservert;-17,90;EXTRA BISLETT OSLO NO;
2025/12/12;-231,10;KIWI 471 BISLETT;
2025/12/11;-107,60;4694 EXTRA BISLETT;
2025/12/11;-30,00;APCOA AUTOMATBETALING;
2025/12/10;750,00;FRA MARGARET HOLMBOE;
2025/12/10;30,00;FRA MARGARET HOLMBOE;
2025/12/10;-175,70;4694 EXTRA BISLETT;
2025/12/09;-373,00;MAJORSTUENSUSHI.WINORD;
2025/12/09;-29,90;4694 EXTRA BISLETT;
2025/12/08;373,00;FRA MARGARET HOLMBOE;
2025/12/08;-17,00;JOKER ARBOSGATE;
2025/12/08;-130,00;BKH 14 MAJORSTUEN;
2025/12/08;-69,90;REMA 1000 SPORVEISGATEN;
2025/12/08;-76,63;4694 EXTRA BISLETT;
2025/12/08;-63,80;4694 EXTRA BISLETT;
2025/12/08;-39,65;4694 EXTRA BISLETT;
2025/12/05;-466,00;VIPPS*RUTER;
2025/12/04;-211,60;EASYPARK AS;
2025/12/03;-87,68;4694 EXTRA BISLETT;
2025/12/02;6469,75;FRA MASSIMO PIZZA AS;
2025/12/02;250,00;FRA MARGARET HOLMBOE;
2025/12/02;-107,66;KIWI 586 TRIKKESLOEYFA;
2025/12/01;-235,00;TIL STUDENTSAMSKIPNADEN SIO;
2025/12/01;-315,79;4694 EXTRA BISLETT;
2025/12/01;-39,80;4694 EXTRA BISLETT;
2025/12/01;-135,70;4694 EXTRA BISLETT;
2025/11/28;-29,00;STEAMGAMES.COM 4259522985;
2025/11/28;-120,00;BKH 6 AVD PILESTREDET;
